alpha3,lon,lat,capacity,treatment_type
NLD,4.063,51.634,7474,tertiary
SVK,20.47,49.19,2608,secondary
NLD,3.874,51.679,19140,tertiary
SVK,20.58,48.92,24853,tertiary
SVK,20.36,49.38,1381,secondary
NLD,4.077,51.556,14513,tertiary
NLD,4.231,51.542,8853,tertiary
SVK,22.21,48.99,1170,tertiary
NLD,4.054,51.429,28423,tertiary
SVK,20.7,49.31,11804,tertiary
NLD,3.705,51.571,8476,tertiary
SVK,18.19,48.08,5353,tertiary
NLD,3.934,51.45,66227,tertiary
SVK,17.22,48.25,3747,secondary
NLD,3.618,51.447,105645,tertiary
SVK,21.58,49.29,6512,tertiary
NLD,3.505,51.396,3178,tertiary
SVK,19.94,48.67,2286,tertiary
NLD,3.38,51.365,8673,tertiary
SVK,21.73,48.61,8412,tertiary
NLD,3.5,51.34,7539,tertiary
SVK,18.1,48.93,8697,secondary
NLD,3.586,51.386,8774,tertiary
SVK,17.95,48.84,3874,tertiary
SVK,18.01,48.88,61539,secondary
SVK,17.98,48.88,12866,tertiary
NLD,3.839,51.297,45093,tertiary
SVK,17.61,48.32,158853,tertiary
NLD,4.076,51.28,14728,tertiary
SVK,18.85,48.89,5586,secondary
NLD,4.024,51.377,4267,tertiary
SVK,20.87,48.59,632,tertiary
NLD,4.921,51.604,60933,tertiary
SVK,17.7,48.25,267,secondary
NLD,5.072,51.713,47617,tertiary
SVK,19.35,48.18,8878,tertiary
NLD,4.323,51.392,8400,tertiary
SVK,21.68,48.87,18422,tertiary
NLD,4.388,51.366,3333,tertiary
SVK,19.89,49.13,1478,secondary
NLD,4.996,51.535,6950,tertiary
SVK,20.07,49.12,2148,secondary
NLD,4.943,51.706,6667,tertiary
SVK,20.33,49.23,672,secondary
NLD,4.22,51.575,1800,tertiary
SVK,20.33,49.23,14,secondary
NLD,4.709,51.63,207600,tertiary
SVK,20.28,49.16,2107,secondary
NLD,4.853,51.513,6150,tertiary
SVK,18.66,48.04,1594,secondary
NLD,4.997,51.657,44350,tertiary
SVK,18.82,48.56,11381,tertiary
NLD,4.238,51.413,307450,tertiary
SVK,18.63,49.24,117841,tertiary
NLD,4.853,51.676,101150,tertiary
SVK,17.43,48.14,4261,tertiary
NLD,4.256,51.529,10133,tertiary
SVK,19.1,48.56,55088,tertiary
NLD,4.9,51.45,16283,tertiary
SVK,18.24,48.72,33362,tertiary
NLD,4.712,51.718,4950,tertiary
SVK,18.33,49.06,1088,secondary
NLD,4.362,51.653,6233,tertiary
SVK,21.34,48.6,5614,tertiary
NLD,4.456,51.69,3733,tertiary
SVK,17.77,48.26,18663,secondary
NLD,5.123,51.755,8203,tertiary
NLD,5.056,51.725,4513,tertiary
NLD,4.931,51.816,28727,tertiary
NLD,4.927,51.733,6565,tertiary
SVK,17.77,48.41,25995,tertiary
SVK,18.02,47.91,0,secondary
NLD,5.503,51.46,556200,tertiary
SVK,18.16,48.15,1431,secondary
NLD,5.328,51.61,73133,tertiary
NLD,5.241,51.379,33867,tertiary
SVK,21.97,48.4,3885,secondary
NLD,5.593,51.313,26933,tertiary
SVK,18.84,49.38,3928,tertiary
NLD,5.282,51.722,229874,tertiary
