scenario,year,alpha3,bucketLatrine_urb,compostingToilet_urb,flushOpen_urb,flushPit_urb,flushSeptic_urb,flushSewer_urb,flushUnknown_urb,hangingToilet_urb,openDefecation_urb,other_urb,pitNoSlab_urb,pitSlab_urb,containerBased_urb,onsiteDumpedland_urb,emptyFrequency_urb,pitAdditive_urb,urine_urb,twinPits_urb,coverBury_urb,fecalSludgeTreated_urb,sewageTreated_urb,isWatertight_urb,hasLeach_urb,bucketLatrine_rur,compostingToilet_rur,flushOpen_rur,flushPit_rur,flushSeptic_rur,flushSewer_rur,flushUnknown_rur,hangingToilet_rur,openDefecation_rur,other_rur,pitNoSlab_rur,pitSlab_rur,containerBased_rur,onsiteDumpedland_rur,emptyFrequency_rur,pitAdditive_rur,urine_rur,twinPits_rur,coverBury_rur,fecalSludgeTreated_rur,sewageTreated_rur,isWatertight_rur,hasLeach_rur
SSP2,2030,SGP,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
SSP2,2030,SGS,0.001,0.000,0.002,0.031,0.044,0.739,0.031,0.000,0.002,0.009,0.002,0.139,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.007,0.099,0.080,0.455,0.040,0.000,0.030,0.014,0.000,0.272,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
SSP2,2030,SHN,0.004,0.000,0.000,0.001,0.000,0.582,0.003,0.006,0.073,0.074,0.023,0.234,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.005,0.000,0.245,0.000,0.005,0.251,0.094,0.023,0.375,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
SSP2,2030,SJM,0.000,0.000,0.000,0.005,0.062,0.872,0.000,0.000,0.000,0.002,0.001,0.058,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.052,0.883,0.000,0.000,0.000,0.000,0.000,0.065,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
SSP2,2030,SLB,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.150,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.150,0.000,0.000
SSP2,2030,SLE,0.015,0.001,0.000,0.000,0.108,0.172,0.000,0.017,0.155,0.061,0.104,0.367,0.000,0.100,3.000,0.000,0.000,0.000,0.221,0.000,0.048,0.000,0.000,0.004,0.001,0.000,0.001,0.000,0.054,0.001,0.011,0.370,0.063,0.079,0.416,0.000,0.100,3.000,0.000,0.000,0.000,0.098,0.000,0.048,0.000,0.000
SSP2,2030,SLV,0.000,0.001,0.000,0.054,0.123,0.560,0.000,0.000,0.000,0.000,0.000,0.262,0.000,0.100,3.000,0.000,0.000,0.000,0.144,0.006,0.345,0.006,0.006,0.000,0.003,0.000,0.098,0.237,0.247,0.000,0.000,0.000,0.000,0.000,0.415,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.345,0.000,0.000
SSP2,2030,SMR,0.000,0.000,0.000,0.000,0.063,0.928,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.996,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
SSP2,2030,SOM,0.013,0.000,0.000,0.000,0.080,0.414,0.000,0.007,0.087,0.017,0.091,0.291,0.000,0.100,3.000,0.000,0.000,0.000,0.414,0.000,0.012,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.143,0.003,0.006,0.328,0.074,0.053,0.388,0.000,0.100,3.000,0.000,0.000,0.000,0.207,0.000,0.012,0.000,0.000
SSP2,2030,SPM,0.000,0.000,0.000,0.000,0.114,0.886,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.877,0.000,0.000,0.000,0.000,0.000,0.000,0.273,0.727,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.877,0.000,0.000
