region;flushSewer;flushSeptic;flushPit;flushOpen;flushUnknown;pitSlab;pitNoSlab;bucketLatrine;hangingToilet;openDefecation;containerBased;compostingToilet;other;coverBury;sewageTreated;fecalSludgeTreated;isWatertight;hasLeach;onsiteDumpedLand;emptyFrequency;pitAdditive;urine;twinPits;warning
MKD;0.988;0.007;0.0;0.0;0.0;0.003;0.0;0.0;0.0;0.0;;0.0;0.002;0.0;0.08187056176251618;0.0;0.0;0.0;0.1;3;0;0;0;
MLI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06;;0.0;0.94;0.06195085035759051;0.01307942167965026;0.0;0.0;0.0;0.1;3;0;0;0;
MLT;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
MMR;0.0;0.0;0.871;0.0;0.052;0.038;0.0;0.01;0.0;0.026;;0.0;0.003;0.5180681496444653;0.00881062922263969;0.0;0.0;0.0;0.1;3;0;0;0;
MNE;0.597;0.378;0.005;0.004;0.004;0.007;0.0;0.0;0.0;0.0;;0.0;0.004;0.1506355570598328;0.447393527028354;0.04298246819917726;0.04298246819917726;0.04298246819917726;0.1;3;0;0;0;
MNG;0.408;0.006;0.002;0.0;0.001;0.5650000000000001;0.008;0.0;0.0;0.002;;0.003;0.004;0.42800709002447057;0.2749763878418028;0.0;0.0;0.0;0.1;3;0;0;0;
MNP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
MOZ;0.0;0.0;0.0;0.0;0.273;0.6080000000000001;0.0;0.0;0.0;0.119;;0.0;0.0;;;;;;0.1;3;0;0;0;
MRT;0.053;0.0;0.288;0.0;0.021;0.403;0.116;0.0;0.0;0.11;;0.0;0.008;;;;;;0.1;3;0;0;0;
MTQ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
MUS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003;;0.0;0.997;;0.3399220897589394;;;;0.1;3;0;0;0;
MWI;0.0105;0.1005;0.005;0.001;0.0;0.672;0.1875;0.0;0.0005;0.0155;;0.005;0.0005;0.3954445823220771;0.01617291767849881;0.0;0.0;0.0;0.1;3;0;0;0;
MYS;0.0;0.0;0.0;0.0;0.999;0.0;0.0;0.0;0.0;0.0;;0.0;0.001;;;;;;0.1;3;0;0;0;
NAM;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.146;;0.0;0.854;;;;;;0.1;3;0;0;0;
NER;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.098;;0.0;0.902;0.19329359981458988;0.01277694355135674;0.0;0.0;0.0;0.1;3;0;0;0;
NGA;0.09033333333333333;0.375;0.12333333333333334;0.007;0.004333333333333333;0.24033333333333332;0.07766666666666666;0.0023333333333333335;0.006666666666666667;0.05933333333333333;;0.009333333333333332;0.004;0.3258574975263667;0.040088303766428045;0.0;0.0;0.0;0.1;3;0;0;0;
NIC;0.353;0.106;0.0;0.002;0.0;0.525;0.0;0.0;0.0;0.014;;0.0;0.0;;;;;;0.1;3;0;0;0;
NLD;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.975;0.0;0.0;0.0;0.1;3;0;0;0;
NOR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
NPL;0.144;0.55;0.204;0.006;0.002;0.033;0.001;0.0;0.0;0.042;;0.014;0.003;0.3809446689048553;0.06474847894936421;0.0;0.0;0.0;0.1;3;0;0;0;
NZL;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
OMN;0.896;0.067;0.0;0.0;0.0;0.012;0.0;0.0;0.0;0.022;;0.0;0.003;;0.24331793712404;;;;0.1;3;0;0;0;
PAK;0.611;0.138;0.047;0.171;0.0;0.015;0.0;0.0;0.002;0.01;;0.0;0.003;0.13961569031339902;;;;;0.1;3;0;0;0;
PAN;0.0;0.0;0.0;0.0;0.0;0.145;0.0;0.0;0.0;0.004;;0.0;0.0;0.1282896509767617;0.2922910176634741;0.07921581061350585;0.07921581061350585;0.07921581061350585;0.1;3;0;0;0;Does not add up to 100%
PER;0.8566666666666666;0.02033333333333333;0.0;0.006999999999999999;0.0;0.04633333333333334;0.037;0.0;0.0;0.011999999999999999;;0.0;0.020333333333333335;0.021588195055689693;0.5767152604972706;0.01796494447820639;0.01796494447820639;0.01796494447820639;0.1;3;0;0;0;
PHL;0.118;0.782;0.056;0.01;0.002;0.009000000000000001;0.001;0.001;0.002;0.016;;0.001;0.002;0.5179399421093369;0.043894597478503924;0.0;0.0;0.0;0.1;3;0;0;0;
PLW;0.887;0.0;0.0;0.0;0.087;0.023;0.0;0.0;0.0;0.0;;0.0;0.003;;;;;;0.1;3;0;0;0;
PNG;0.456;0.098;0.002;0.0;0.0;0.34500000000000003;0.097;0.0;0.0;0.002;;0.0;0.0;0.074462587331989;0.166943679111261;0.041996899255241804;0.041996899255241804;0.041996899255241804;0.1;3;0;0;0;
