alpha3,scenario,year,fractionUrban
ROU,SSP1,2050,0.724
ROU,SSP1,2100,0.84
RUS,SSP1,2025,0.78
RUS,SSP1,2030,0.791
RUS,SSP1,2050,0.83
RUS,SSP1,2100,0.94
RWA,SSP1,2025,0.249
RWA,SSP1,2030,0.28
RWA,SSP1,2050,0.412
RWA,SSP1,2100,0.712
REU,SSP1,2025,0.996
REU,SSP1,2030,0.997
REU,SSP1,2050,0.999
REU,SSP1,2100,1.0
KNA,SSP1,2025,0.395
KNA,SSP1,2030,0.422
KNA,SSP1,2050,0.532
KNA,SSP1,2100,0.753
SPM,SSP1,2025,0.932
SPM,SSP1,2030,0.941
SPM,SSP1,2050,0.969
SPM,SSP1,2100,0.999
VCT,SSP1,2025,0.571
VCT,SSP1,2030,0.596
VCT,SSP1,2050,0.691
VCT,SSP1,2100,0.828
WSM,SSP1,2025,0.274
WSM,SSP1,2030,0.301
WSM,SSP1,2050,0.408
WSM,SSP1,2100,0.669
SMR,SSP1,2025,0.98
SMR,SSP1,2030,0.986
SMR,SSP1,2050,0.997
SMR,SSP1,2100,1.0
STP,SSP1,2025,0.728
STP,SSP1,2030,0.749
STP,SSP1,2050,0.809
STP,SSP1,2100,0.922
SAU,SSP1,2025,0.856
SAU,SSP1,2030,0.873
SAU,SSP1,2050,0.925
SAU,SSP1,2100,0.993
SEN,SSP1,2025,0.521
SEN,SSP1,2030,0.548
SEN,SSP1,2050,0.649
SEN,SSP1,2100,0.81
SRB,SSP1,2025,0.626
SRB,SSP1,2030,0.651
SRB,SSP1,2050,0.733
SRB,SSP1,2100,0.845
SYC,SSP1,2025,0.61
SYC,SSP1,2030,0.635
SYC,SSP1,2050,0.721
SYC,SSP1,2100,0.839
SLE,SSP1,2025,0.472
SLE,SSP1,2030,0.5
SLE,SSP1,2050,0.607
SLE,SSP1,2100,0.794
SVK,SSP1,2025,0.622
SVK,SSP1,2030,0.647
SVK,SSP1,2050,0.729
SVK,SSP1,2100,0.842
SVN,SSP1,2025,0.605
SVN,SSP1,2030,0.63
SVN,SSP1,2050,0.717
SVN,SSP1,2100,0.838
SLB,SSP1,2025,0.278
SLB,SSP1,2030,0.306
SLB,SSP1,2050,0.426
SLB,SSP1,2100,0.703
SOM,SSP1,2025,0.479
SOM,SSP1,2030,0.507
SOM,SSP1,2050,0.614
SOM,SSP1,2100,0.8
ZAF,SSP1,2025,0.692
ZAF,SSP1,2030,0.711
ZAF,SSP1,2050,0.774
ZAF,SSP1,2100,0.871
KOR,SSP1,2025,0.854
KOR,SSP1,2030,0.873
KOR,SSP1,2050,0.926
KOR,SSP1,2100,0.993
SSD,SSP1,2025,0.248
SSD,SSP1,2030,0.274
SSD,SSP1,2050,0.381
SSD,SSP1,2100,0.654
ESP,SSP1,2025,0.816
ESP,SSP1,2030,0.825
ESP,SSP1,2050,0.854
ESP,SSP1,2100,0.963
LKA,SSP1,2025,0.253
LKA,SSP1,2030,0.278
LKA,SSP1,2050,0.384
LKA,SSP1,2100,0.648
SDN,SSP1,2025,0.418
SDN,SSP1,2030,0.447
SDN,SSP1,2050,0.564
SDN,SSP1,2100,0.778
SUR,SSP1,2025,0.724
SUR,SSP1,2030,0.741
SUR,SSP1,2050,0.794
SUR,SSP1,2100,0.898
SWE,SSP1,2025,0.896
SWE,SSP1,2030,0.908
SWE,SSP1,2050,0.948
SWE,SSP1,2100,0.997
CHE,SSP1,2025,0.779
CHE,SSP1,2030,0.79
CHE,SSP1,2050,0.829
CHE,SSP1,2100,0.939
SYR,SSP1,2025,0.632
SYR,SSP1,2030,0.656
SYR,SSP1,2050,0.736
SYR,SSP1,2100,0.846
TWN,SSP1,2025,0.797
TWN,SSP1,2030,0.809
TWN,SSP1,2050,0.848
TWN,SSP1,2100,0.957
TZA,SSP1,2025,0.379
TZA,SSP1,2030,0.412
TZA,SSP1,2050,0.545
TZA,SSP1,2100,0.78
THA,SSP1,2025,0.529
THA,SSP1,2030,0.557
THA,SSP1,2050,0.662
THA,SSP1,2100,0.821
TLS,SSP1,2025,0.357
TLS,SSP1,2030,0.386
TLS,SSP1,2050,0.5
TLS,SSP1,2100,0.744
TGO,SSP1,2025,0.473
TGO,SSP1,2030,0.504
TGO,SSP1,2050,0.622
TGO,SSP1,2100,0.807
TON,SSP1,2025,0.311
TON,SSP1,2030,0.338
TON,SSP1,2050,0.447
TON,SSP1,2100,0.699
TTO,SSP1,2025,0.617
TTO,SSP1,2030,0.642
TTO,SSP1,2050,0.725
TTO,SSP1,2100,0.84
TUN,SSP1,2025,0.731
TUN,SSP1,2030,0.748
TUN,SSP1,2050,0.802
TUN,SSP1,2100,0.909
TUR,SSP1,2025,0.768
TUR,SSP1,2030,0.783
TUR,SSP1,2050,0.829
TUR,SSP1,2100,0.94
TKM,SSP1,2025,0.565
TKM,SSP1,2030,0.59
TKM,SSP1,2050,0.685
TKM,SSP1,2100,0.823
TCA,SSP1,2025,0.938
TCA,SSP1,2030,0.947
TCA,SSP1,2050,0.973
TCA,SSP1,2100,0.999
TUV,SSP1,2025,0.64
TUV,SSP1,2030,0.667
TUV,SSP1,2050,0.757
TUV,SSP1,2100,0.87
UGA,SSP1,2025,0.276
UGA,SSP1,2030,0.307
UGA,SSP1,2050,0.436
UGA,SSP1,2100,0.717
UKR,SSP1,2025,0.741
UKR,SSP1,2030,0.757
UKR,SSP1,2050,0.804
UKR,SSP1,2100,0.91
ARE,SSP1,2025,0.87
ARE,SSP1,2030,0.885
ARE,SSP1,2050,0.931
ARE,SSP1,2100,0.995
GBR,SSP1,2025,0.839
GBR,SSP1,2030,0.846
GBR,SSP1,2050,0.897
GBR,SSP1,2100,0.985
USA,SSP1,2025,0.835
USA,SSP1,2030,0.843
USA,SSP1,2050,0.886
USA,SSP1,2100,0.978
VIR,SSP1,2025,0.967
VIR,SSP1,2030,0.973
VIR,SSP1,2050,0.993
VIR,SSP1,2100,1.0
URY,SSP1,2025,0.966
URY,SSP1,2030,0.971
URY,SSP1,2050,0.993
URY,SSP1,2100,1.0
UZB,SSP1,2025,0.588
UZB,SSP1,2030,0.614
UZB,SSP1,2050,0.705
